;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
181;FWB_136;Pelagic;Primary_resource;NA;NA;-28,20136621;1,973848979;Lentic
182;FWB_136;Benthic;Primary_resource;NA;NA;-26,09110378;1,121758588;Lentic
183;FWB_136;Pelagic;Primary_consumer;NA;NA;-30,64050083;3,983896584;Lentic
184;FWB_136;Benthic;Primary_consumer;NA;NA;-28,5302384;3,131806194;Lentic
185;FWB_14;Pelagic;Primary_resource;NA;NA;-25,77275799;2,754850581;Lentic
186;FWB_14;Benthic;Primary_resource;NA;NA;-22,59875773;1,902760191;Lentic
187;FWB_14;Pelagic;Primary_consumer;NA;NA;-28,21189262;4,764898187;Lentic
188;FWB_14;Benthic;Primary_consumer;NA;NA;-25,03789235;3,912807796;Lentic
189;FWB_140;Benthic;Primary_consumer;-17,32028898;3,577922078;-20,20598387;9,129978401;Lotic
190;FWB_140;Benthic;Primary_resource;-18,33443709;1,142857143;-19,89482745;7,437044622;Lotic
191;FWB_140;Pelagic;Primary_resource;NA;NA;-22,04624443;6,868573659;Lotic
192;FWB_140;Pelagic;Primary_consumer;NA;NA;-22,35740086;8,561507438;Lotic
193;FWB_141;Benthic;Primary_resource;-16,72019868;6,633928571;-19,94030587;7,179855877;Lotic
194;FWB_141;Benthic;Primary_consumer;-17,96972564;8,489795918;-20,2514623;8,874339121;Lotic
195;FWB_141;Pelagic;Primary_resource;NA;NA;-22,09172286;6,611384914;Lotic
196;FWB_141;Pelagic;Primary_consumer;NA;NA;-22,40287928;8,305868158;Lotic
197;FWB_142;Benthic;Primary_consumer;-26,7;1,971830986;-25,392749;2,351371001;Lotic
198;FWB_142;Benthic;Primary_resource;-23,4;2,309859155;-25,08159258;1,866571023;Lotic
199;FWB_142;Pelagic;Primary_resource;NA;NA;-27,23300956;1,29810006;Lotic
200;FWB_142;Pelagic;Primary_consumer;NA;NA;-27,54416599;1,782900038;Lotic
201;FWB_143;Benthic;Primary_resource;-20,2;0,869565217;-25,08159258;1,866571023;Lotic
202;FWB_143;Benthic;Primary_consumer;-24,3;0,753623188;-25,392749;2,351371001;Lotic
203;FWB_143;Pelagic;Primary_resource;NA;NA;-27,23300956;1,29810006;Lotic
204;FWB_143;Pelagic;Primary_consumer;NA;NA;-27,54416599;1,782900038;Lotic
205;FWB_144;Benthic;Primary_consumer;-24,79120879;2,946407439;-25,392749;2,351371001;Lotic
206;FWB_144;Benthic;Primary_resource;-18,96703297;1,43364328;-25,08159258;1,866571023;Lotic
207;FWB_144;Pelagic;Primary_resource;NA;NA;-27,23300956;1,29810006;Lotic
208;FWB_144;Pelagic;Primary_consumer;NA;NA;-27,54416599;1,782900038;Lotic
209;FWB_145;Benthic;Primary_consumer;-23,2972973;0,535031847;-25,392749;2,351371001;Lotic
210;FWB_145;Benthic;Primary_resource;-24,1981982;0,484076433;-25,08159258;1,866571023;Lotic
211;FWB_145;Pelagic;Primary_resource;NA;NA;-27,23300956;1,29810006;Lotic
212;FWB_145;Pelagic;Primary_consumer;NA;NA;-27,54416599;1,782900038;Lotic
213;FWB_146;Benthic;Primary_consumer;-26,55900621;1,285714286;-25,392749;2,351371001;Lotic
214;FWB_146;Benthic;Primary_resource;-21,1552795;0,142857143;-25,08159258;1,866571023;Lotic
215;FWB_146;Pelagic;Primary_resource;NA;NA;-27,23300956;1,29810006;Lotic
216;FWB_146;Pelagic;Primary_consumer;NA;NA;-27,54416599;1,782900038;Lotic
217;FWB_147;Benthic;Primary_consumer;-29,58381503;2,451612903;-26,67802098;2,937584633;Lotic
218;FWB_147;Benthic;Primary_resource;-25,01734104;3,483870968;-26,36686455;2,664155723;Lotic
219;FWB_147;Pelagic;Primary_resource;NA;NA;-28,51828153;2,09568476;Lotic
220;FWB_147;Pelagic;Primary_consumer;NA;NA;-28,82943796;2,36911367;Lotic
221;FWB_148;Benthic;Primary_consumer;-30,50867052;1,297617369;-26,67802098;2,937584633;Lotic
222;FWB_148;Benthic;Primary_resource;-29,75722543;1,422811222;-26,36686455;2,664155723;Lotic
223;FWB_148;Pelagic;Primary_resource;NA;NA;-28,51828153;2,09568476;Lotic
224;FWB_148;Pelagic;Primary_consumer;NA;NA;-28,82943796;2,36911367;Lotic
225;FWB_149;Benthic;Primary_resource;-19,84180791;1,875;-26,36686455;2,664155723;Lotic
226;FWB_149;Benthic;Primary_consumer;-28,03389831;2,0625;-26,67802098;2,937584633;Lotic
227;FWB_149;Pelagic;Primary_resource;NA;NA;-28,51828153;2,09568476;Lotic
228;FWB_149;Pelagic;Primary_consumer;NA;NA;-28,82943796;2,36911367;Lotic
229;FWB_15;Pelagic;Primary_resource;NA;NA;-24,37832037;6,278180855;Lentic
230;FWB_15;Benthic;Primary_resource;NA;NA;-20,34396954;5,426090465;Lentic
231;FWB_15;Pelagic;Primary_consumer;NA;NA;-26,817455;8,28822846;Lentic
232;FWB_15;Benthic;Primary_consumer;NA;NA;-22,78310416;7,43613807;Lentic
233;FWB_150;Benthic;Primary_consumer;-26,4494382;0,4375;-26,67802098;2,937584633;Lotic
234;FWB_150;Benthic;Primary_resource;-21,28089888;2;-26,36686455;2,664155723;Lotic
235;FWB_150;Pelagic;Primary_resource;NA;NA;-28,51828153;2,09568476;Lotic
236;FWB_150;Pelagic;Primary_consumer;NA;NA;-28,82943796;2,36911367;Lotic
237;FWB_151;Benthic;Primary_consumer;-28,66666667;2,857142857;-25,35544186;2,583917786;Lotic
238;FWB_151;Benthic;Primary_resource;-28,44444444;2,857142857;-25,04428543;2,30977517;Lotic
239;FWB_151;Pelagic;Primary_resource;NA;NA;-27,19570241;1,741304207;Lotic
240;FWB_151;Pelagic;Primary_consumer;NA;NA;-27,50685884;2,015446823;Lotic
241;FWB_152;Benthic;Primary_resource;-20,22222222;1,548387097;-25,04428543;2,30977517;Lotic
242;FWB_152;Benthic;Primary_consumer;-23,77777778;4,258064516;-25,35544186;2,583917786;Lotic
243;FWB_152;Pelagic;Primary_resource;NA;NA;-27,19570241;1,741304207;Lotic
244;FWB_152;Pelagic;Primary_consumer;NA;NA;-27,50685884;2,015446823;Lotic
245;FWB_153;Benthic;Primary_consumer;-29,65853659;4;-25,35544186;2,583917786;Lotic
246;FWB_153;Benthic;Primary_resource;-21,36585366;2,88372093;-25,04428543;2,30977517;Lotic
