"";"FW_ID";"Resource_habitat";"Resource_trophic_group";"d13C_baseline";"d15N_baseline";"Ecosystem_Type";"Latitude";"Longitude";"Elevation";"Lake_area_km2";"dis_m3_pyr";"tmp_dc_lyr";"pre_mm_lyr";"pop_ct_vsu";"soc_th_uav";"Res_time";"hft_ix_v09"
"98";"FWB_216";"Benthic";"Primary_consumer";-19,8;2,92;"Lentic";1,503975;32,945225;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"99";"FWB_216";"Benthic";"Primary_resource";-18,806;0,9275;"Lentic";1,503975;32,945225;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"100";"FWB_217";"Benthic";"Primary_consumer";-17,71;-1,485;"Lentic";-11,942664;34,423397;476;29544;1119,68;245;1286;764,911;25;79801,5;99
"101";"FWB_217";"Pelagic";"Primary_consumer";-23,225;1,78666666666667;"Lentic";-11,942664;34,423397;476;29544;1119,68;245;1286;764,911;25;79801,5;99
"102";"FWB_217";"Benthic";"Primary_resource";-13,73625;-0,563333333333333;"Lentic";-11,942664;34,423397;476;29544;1119,68;245;1286;764,911;25;79801,5;99
"103";"FWB_217";"Pelagic";"Primary_resource";-22,4733333333333;-0,21;"Lentic";-11,942664;34,423397;476;29544;1119,68;245;1286;764,911;25;79801,5;99
"104";"FWB_218";"Benthic";"Primary_consumer";-36,98;1,03;"Lentic";49,654894;-93,726386;390;0,44;0,025;23;670;0;99;870,2;0
"105";"FWB_218";"Pelagic";"Primary_consumer";-35,45;4,07;"Lentic";49,654894;-93,726386;390;0,44;0,025;23;670;0;99;870,2;0
"106";"FWB_218";"Benthic";"Primary_resource";-16,185;0,88333333333333;"Lentic";49,654894;-93,726386;390;0,44;0,025;23;670;0;99;870,2;0
"107";"FWB_219";"Benthic";"Primary_consumer";-27,635;4,125;"Lentic";49,744206;-93,799728;424;0,27;0,001;20;667;0;136;13234,9;3
"108";"FWB_219";"Pelagic";"Primary_consumer";-30,75;4,335;"Lentic";49,744206;-93,799728;424;0,27;0,001;20;667;0;136;13234,9;3
"109";"FWB_221";"Benthic";"Primary_consumer";-26,1414285714286;3,46999999999999;"Lentic";8,229892;-63,338042;11;0,84;3,686;277;936;0,121;14;6,4;30
"110";"FWB_223";"Benthic";"Primary_resource";-22,75;4,16;"Lentic";47,896478;-118,341722;384;269,2;3166,71;91;356;7,804;65;23,4;61
"111";"FWB_223";"Pelagic";"Primary_resource";-28,36;4,18;"Lentic";47,896478;-118,341722;384;269,2;3166,71;91;356;7,804;65;23,4;61
"112";"FWB_223";"Benthic";"Primary_consumer";-26,105;4,6075;"Lentic";47,896478;-118,341722;384;269,2;3166,71;91;356;7,804;65;23,4;61
"113";"FWB_223";"Pelagic";"Primary_consumer";-29,81375;5,58625;"Lentic";47,896478;-118,341722;384;269,2;3166,71;91;356;7,804;65;23,4;61
"114";"FWB_23";"Benthic";"Primary_resource";-17,0333333333333;2,6;"Lentic";26,212778;127,740556;2;0,43;1,961;228;2025;226,624;17;8,9;385
"115";"FWB_23";"Benthic";"Primary_consumer";-23,25;3,45;"Lentic";26,212778;127,740556;2;0,43;1,961;228;2025;226,624;17;8,9;385
"116";"FWB_23";"Pelagic";"Primary_consumer";-26,6;5,45;"Lentic";26,212778;127,740556;2;0,43;1,961;228;2025;226,624;17;8,9;385
"117";"FWB_233";"Pelagic";"Primary_resource";-31,1825173971432;2,78997273430187;"Lentic";46,689258;-91,997942;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"118";"FWB_233";"Pelagic";"Primary_consumer";-30,9315101941154;6,1052374557441;"Lentic";46,689258;-91,997942;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"119";"FWB_234";"Pelagic";"Primary_consumer";-21,753164556962;7,79504937371595;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"120";"FWB_234";"Benthic";"Primary_resource";-16,1202531645569;5,84800185565643;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"121";"FWB_235";"Benthic";"Primary_resource";-16,828947368421;5,87165775401069;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"122";"FWB_235";"Pelagic";"Primary_consumer";-23,6381578947368;7,96791443850267;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"123";"FWB_236";"Benthic";"Primary_resource";-15,3564668769716;7,99947696180186;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"124";"FWB_236";"Pelagic";"Primary_consumer";-22,4227129337539;8,34089014563344;"Lentic";44,001;-77,998;175;0,11;0,026;68;820;0,782;32;102,5;139
"125";"FWB_241";"Benthic";"Primary_consumer";-25,7704646526606;7,76466799570618;"Lentic";53,149241;107,847061;449;31967,8;1997,9;-18;375;95,47;80;136805;48
"126";"FWB_241";"Pelagic";"Primary_resource";-27,9914737003527;4,17110872565557;"Lentic";53,149241;107,847061;449;31967,8;1997,9;-18;375;95,47;80;136805;48
"127";"FWB_241";"Pelagic";"Primary_consumer";-26,3825180187087;7,0501150130348;"Lentic";53,149241;107,847061;449;31967,8;1997,9;-18;375;95,47;80;136805;48
"128";"FWB_252";"Pelagic";"Primary_consumer";-25,780269058296;2,24358974358974;"Lentic";48,078996;-120,472183;331;127,7;50,039;92;508;7,14;76;192,9;43
"129";"FWB_252";"Benthic";"Primary_consumer";-17,7488789237667;3,94871794871794;"Lentic";48,078996;-120,472183;331;127,7;50,039;92;508;7,14;76;192,9;43
"130";"FWB_253";"Pelagic";"Primary_consumer";-28,09;4,7;"Lentic";62,674774;-114,080029;218;4,49;0,195;-60;276;0;83;1602,4;2
"131";"FWB_253";"Benthic";"Primary_consumer";-12,51;1,88;"Lentic";62,674774;-114,080029;218;4,49;0,195;-60;276;0;83;1602,4;2
"132";"FWB_254";"Pelagic";"Primary_consumer";-24,35;4,33;"Lentic";62,7;-114,216667;206;4,52;0,379;-59;273;0;84;979,5;1
"133";"FWB_254";"Benthic";"Primary_consumer";-16,58;1,79;"Lentic";62,7;-114,216667;206;4,52;0,379;-59;273;0;84;979,5;1
"134";"FWB_255";"Pelagic";"Primary_consumer";-30,2;7,47;"Lentic";62,7;-114,116667;221;2,39;0,252;-61;278;0;83;680,7;1
"135";"FWB_255";"Benthic";"Primary_consumer";-16,15;3,32;"Lentic";62,7;-114,116667;221;2,39;0,252;-61;278;0;83;680,7;1
"136";"FWB_256";"Pelagic";"Primary_consumer";-27,49;2,87;"Lentic";62,733333;-114,166667;217;3,75;0,035;-61;276;0;77;8722,5;0
"137";"FWB_256";"Benthic";"Primary_consumer";-14,63;1,62;"Lentic";62,733333;-114,166667;217;3,75;0,035;-61;276;0;77;8722,5;0
"138";"FWB_258";"Pelagic";"Primary_consumer";-33,5;6,5;"Lentic";32,710739;-94,018833;53;60,29;101,899;181;1213;4,347;18;105,8;83
"139";"FWB_258";"Benthic";"Primary_consumer";-29,4;4,3;"Lentic";32,710739;-94,018833;53;60,29;101,899;181;1213;4,347;18;105,8;83
"140";"FWB_259";"Benthic";"Primary_consumer";-25,8;2,2;"Lentic";32,710739;-94,018833;53;60,29;101,899;181;1213;4,347;18;105,8;83
"141";"FWB_259";"Pelagic";"Primary_consumer";-32,4;4,9;"Lentic";32,710739;-94,018833;53;60,29;101,899;181;1213;4,347;18;105,8;83
"142";"FWB_263";"Benthic";"Primary_resource";-26,425;0,86;"Lentic";-6,990496;141,518784;12;586,81;543,054;267;3143;1,214;35;62,5;20
"143";"FWB_267";"Benthic";"Primary_consumer";-17,8301886792452;4,20567375886524;"Lentic";46,031089;-81,958675;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"144";"FWB_267";"Pelagic";"Primary_consumer";-24,2924528301886;3,28368794326241;"Lentic";46,031089;-81,958675;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"145";"FWB_277";"Benthic";"Primary_consumer";-25,1486097;12,480332252968;"Lentic";43,9644;0,9556;129;0,51;0,244;125;745;1,166;23;127,1;168
"146";"FWB_277";"Pelagic";"Primary_consumer";-30,3116716666667;14,5198592666667;"Lentic";43,9644;0,9556;129;0,51;0,244;125;745;1,166;23;127,1;168
"147";"FWB_278";"Benthic";"Primary_consumer";-30,0130096016347;13,9764856183264;"Lentic";44,047222;1,6064;130;0,54;0,21;129;737;1,279;25;182,8;132
"148";"FWB_278";"Pelagic";"Primary_consumer";-30,57825968125;15,2229458710803;"Lentic";44,047222;1,6064;130;0,54;0,21;129;737;1,279;25;182,8;132
"149";"FWB_282";"Benthic";"Primary_consumer";-25,5388765;5,99269028247976;"Lentic";44,8233;2,0525;530;0,27;0,477;107;845;0,686;70;29,9;73
"150";"FWB_282";"Pelagic";"Primary_consumer";-24,76320115;8,42620247062651;"Lentic";44,8233;2,0525;530;0,27;0,477;107;845;0,686;70;29,9;73
"151";"FWB_284";"Pelagic";"Primary_consumer";-26,25;11,1;"Lentic";47,584106;-122,095158;5;18,74;8,93;109;1107;86,4;94;611,5;358
"152";"FWB_290";"Pelagic";"Primary_consumer";-34,8805194805194;12,6761565836298;"Lentic";41,800117;-111,954881;1343;10,02;38,423;87;444;1,436;27;24,5;176
"153";"FWB_290";"Pelagic";"Primary_resource";-21,3246753246753;8,17437722419929;"Lentic";41,800117;-111,954881;1343;10,02;38,423;87;444;1,436;27;24,5;176
"154";"FWB_291";"Pelagic";"Primary_resource";-30,5685618729096;3,33747285107063;"Lentic";57,299975;-4,449953;15;51,56;65,316;79;1015;2,718;216;565,3;99
"155";"FWB_291";"Pelagic";"Primary_consumer";-29,0969899665551;8,42382976455382;"Lentic";57,299975;-4,449953;15;51,56;65,316;79;1015;2,718;216;565,3;99
"156";"FWB_291";"Benthic";"Primary_consumer";-38,5284280936454;1,7166118136151;"Lentic";57,299975;-4,449953;15;51,56;65,316;79;1015;2,718;216;565,3;99
"157";"FWB_3";"Benthic";"Primary_consumer";-25,95;3,575;"Lentic";68,028844;-106,544722;20;5,73;0,057;-136;141;0;129;10597,3;0
"158";"FWB_3";"Pelagic";"Primary_consumer";-31,7;7,58;"Lentic";68,028844;-106,544722;20;5,73;0,057;-136;141;0;129;10597,3;0
"159";"FWB_316";"Pelagic";"Primary_consumer";-26,030303030303;10,7166666666667;"Lentic";-30,63333333;25,76666667;1259;294,36;166,072;165;426;3,524;21;395,4;56
"160";"FWB_316";"Benthic";"Primary_consumer";-21,8068181818181;8,04999999999999;"Lentic";-30,63333333;25,76666667;1259;294,36;166,072;165;426;3,524;21;395,4;56
"161";"FWB_316";"Pelagic";"Primary_resource";-20,3295454545454;7,14999999999999;"Lentic";-30,63333333;25,76666667;1259;294,36;166,072;165;426;3,524;21;395,4;56
"162";"FWB_316";"Benthic";"Primary_resource";-19,6193181818181;6,39999999999999;"Lentic";-30,63333333;25,76666667;1259;294,36;166,072;165;426;3,524;21;395,4;56
"163";"FWB_317";"Benthic";"Primary_consumer";-24,05;8;"Lentic";40,230214;-111,786225;1368;362,19;38,282;100;377;56,147;28;510,9;190
"164";"FWB_317";"Benthic";"Primary_resource";-15,6029810298103;11,003861003861;"Lentic";40,230214;-111,786225;1368;362,19;38,282;100;377;56,147;28;510,9;190
"165";"FWB_317";"Pelagic";"Primary_consumer";-24,35;13,225;"Lentic";40,230214;-111,786225;1368;362,19;38,282;100;377;56,147;28;510,9;190
